date,jan_code,product_name,quantity,unit_price,sales_amount
2025-01-01,4901592932440,北海道産いわしとジュレ 柚子胡椒風,18,325,5850
2025-01-01,4901592932457,北海道産いわしとジュレ 燻製風,10,325,3250
2025-01-01,4901592931955,宮崎県産 日南どり炭火焼,18,570,10260
2025-01-01,4901592931641,めいっぱい焼鳥炭火焼 たれ,25,325,8125
2025-01-01,4901592931658,めいっぱい焼鳥炭火焼 塩,28,325,9100
2025-01-01,4901592931030,宮崎県産 霧島黒豚角煮,5,820,4100
2025-01-01,4901592930330,九州産 ぶりあら炊き,17,570,9690
2025-01-01,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,8,840,6720
2025-01-01,4901592929884,湖南風 豚肉の旨辛スパイス,13,580,7540
2025-01-01,4901592929907,国産 あなご蒲焼,11,690,7590
2025-01-01,4901592928993,豚ハラミ焼 スタミナガーリック,16,600,9600
2025-01-01,4901592928382,国産牛すじ煮込み,12,550,6600
2025-01-01,4901592927354,国産牛すね肉の神戸赤ワイン煮,6,990,5940
2025-01-01,4901592891266,広島県産 かき燻製油漬け,32,690,22080
2025-01-02,4901592932440,北海道産いわしとジュレ 柚子胡椒風,17,325,5525
2025-01-02,4901592932457,北海道産いわしとジュレ 燻製風,11,325,3575
2025-01-02,4901592931955,宮崎県産 日南どり炭火焼,22,570,12540
2025-01-02,4901592931641,めいっぱい焼鳥炭火焼 たれ,36,325,11700
2025-01-02,4901592931658,めいっぱい焼鳥炭火焼 塩,17,325,5525
2025-01-02,4901592931030,宮崎県産 霧島黒豚角煮,6,820,4920
2025-01-02,4901592930330,九州産 ぶりあら炊き,15,570,8550
2025-01-02,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,10,840,8400
2025-01-02,4901592929884,湖南風 豚肉の旨辛スパイス,11,580,6380
2025-01-02,4901592929907,国産 あなご蒲焼,19,690,13110
2025-01-02,4901592928993,豚ハラミ焼 スタミナガーリック,17,600,10200
2025-01-02,4901592928382,国産牛すじ煮込み,9,550,4950
2025-01-02,4901592927354,国産牛すね肉の神戸赤ワイン煮,6,990,5940
2025-01-02,4901592918260,激辛ハバネロサーディン,1,550,550
2025-01-02,4901592891266,広島県産 かき燻製油漬け,31,690,21390
2025-01-03,4901592932440,北海道産いわしとジュレ 柚子胡椒風,19,325,6175
2025-01-03,4901592932457,北海道産いわしとジュレ 燻製風,15,325,4875
2025-01-03,4901592931955,宮崎県産 日南どり炭火焼,21,570,11970
2025-01-03,4901592931641,めいっぱい焼鳥炭火焼 たれ,39,325,12675
2025-01-03,4901592931658,めいっぱい焼鳥炭火焼 塩,23,325,7475
2025-01-03,4901592931030,宮崎県産 霧島黒豚角煮,5,820,4100
2025-01-03,4901592930330,九州産 ぶりあら炊き,16,570,9120
2025-01-03,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,11,840,9240
2025-01-03,4901592929884,湖南風 豚肉の旨辛スパイス,17,580,9860
2025-01-03,4901592929907,国産 あなご蒲焼,16,690,11040
2025-01-03,4901592928993,豚ハラミ焼 スタミナガーリック,22,600,13200
2025-01-03,4901592928382,国産牛すじ煮込み,9,550,4950
2025-01-03,4901592927354,国産牛すね肉の神戸赤ワイン煮,7,990,6930
2025-01-03,4901592891266,広島県産 かき燻製油漬け,22,690,15180
2025-01-04,4901592932440,北海道産いわしとジュレ 柚子胡椒風,18,325,5850
2025-01-04,4901592932457,北海道産いわしとジュレ 燻製風,13,325,4225
2025-01-04,4901592931955,宮崎県産 日南どり炭火焼,23,570,13110
2025-01-04,4901592931641,めいっぱい焼鳥炭火焼 たれ,43,325,13975
2025-01-04,4901592931658,めいっぱい焼鳥炭火焼 塩,30,325,9750
2025-01-04,4901592931030,宮崎県産 霧島黒豚角煮,6,820,4920
2025-01-04,4901592930330,九州産 ぶりあら炊き,15,570,8550
2025-01-04,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,12,840,10080
2025-01-04,4901592929884,湖南風 豚肉の旨辛スパイス,22,580,12760
2025-01-04,4901592929907,国産 あなご蒲焼,21,690,14490
2025-01-04,4901592928993,豚ハラミ焼 スタミナガーリック,27,600,16200
2025-01-04,4901592928382,国産牛すじ煮込み,13,550,7150
2025-01-04,4901592927354,国産牛すね肉の神戸赤ワイン煮,12,990,11880
2025-01-04,4901592918260,激辛ハバネロサーディン,1,550,550
2025-01-04,4901592891266,広島県産 かき燻製油漬け,36,690,24840
2025-01-05,4901592932440,北海道産いわしとジュレ 柚子胡椒風,28,325,9100
2025-01-05,4901592932457,北海道産いわしとジュレ 燻製風,19,325,6175
2025-01-05,4901592931955,宮崎県産 日南どり炭火焼,28,570,15960
2025-01-05,4901592931641,めいっぱい焼鳥炭火焼 たれ,44,325,14300
2025-01-05,4901592931658,めいっぱい焼鳥炭火焼 塩,39,325,12675
2025-01-05,4901592931030,宮崎県産 霧島黒豚角煮,8,820,6560
2025-01-05,4901592930330,九州産 ぶりあら炊き,15,570,8550
2025-01-05,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,10,840,8400
2025-01-05,4901592929884,湖南風 豚肉の旨辛スパイス,16,580,9280
2025-01-05,4901592929907,国産 あなご蒲焼,17,690,11730
2025-01-05,4901592928993,豚ハラミ焼 スタミナガーリック,21,600,12600
2025-01-05,4901592928382,国産牛すじ煮込み,20,550,11000
2025-01-05,4901592927354,国産牛すね肉の神戸赤ワイン煮,13,990,12870
2025-01-05,4901592918260,激辛ハバネロサーディン,1,550,550
2025-01-05,4901592891266,広島県産 かき燻製油漬け,42,690,28980
2025-01-06,4901592932440,北海道産いわしとジュレ 柚子胡椒風,11,325,3575
2025-01-06,4901592932457,北海道産いわしとジュレ 燻製風,12,325,3900
2025-01-06,4901592931955,宮崎県産 日南どり炭火焼,14,570,7980
2025-01-06,4901592931641,めいっぱい焼鳥炭火焼 たれ,18,325,5850
2025-01-06,4901592931658,めいっぱい焼鳥炭火焼 塩,15,325,4875
2025-01-06,4901592931030,宮崎県産 霧島黒豚角煮,5,820,4100
2025-01-06,4901592930330,九州産 ぶりあら炊き,8,570,4560
2025-01-06,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,8,840,6720
2025-01-06,4901592929884,湖南風 豚肉の旨辛スパイス,12,580,6960
2025-01-06,4901592929907,国産 あなご蒲焼,10,690,6900
2025-01-06,4901592928993,豚ハラミ焼 スタミナガーリック,11,600,6600
2025-01-06,4901592928382,国産牛すじ煮込み,11,550,6050
2025-01-06,4901592927354,国産牛すね肉の神戸赤ワイン煮,6,990,5940
2025-01-06,4901592891266,広島県産 かき燻製油漬け,21,690,14490
2025-01-07,4901592932440,北海道産いわしとジュレ 柚子胡椒風,9,325,2925
2025-01-07,4901592932457,北海道産いわしとジュレ 燻製風,10,325,3250
2025-01-07,4901592931955,宮崎県産 日南どり炭火焼,17,570,9690
2025-01-07,4901592931641,めいっぱい焼鳥炭火焼 たれ,20,325,6500
2025-01-07,4901592931658,めいっぱい焼鳥炭火焼 塩,13,325,4225
2025-01-07,4901592931030,宮崎県産 霧島黒豚角煮,5,820,4100
2025-01-07,4901592930330,九州産 ぶりあら炊き,12,570,6840
2025-01-07,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,8,840,6720
2025-01-07,4901592929884,湖南風 豚肉の旨辛スパイス,12,580,6960
2025-01-07,4901592929907,国産 あなご蒲焼,13,690,8970
2025-01-07,4901592928993,豚ハラミ焼 スタミナガーリック,9,600,5400
2025-01-07,4901592928382,国産牛すじ煮込み,10,550,5500
2025-01-07,4901592927354,国産牛すね肉の神戸赤ワイン煮,6,990,5940
2025-01-07,4901592918260,激辛ハバネロサーディン,1,550,550
2025-01-07,4901592891266,広島県産 かき燻製油漬け,25,690,17250
2025-01-08,4901592932440,北海道産いわしとジュレ 柚子胡椒風,13,325,4225
2025-01-08,4901592932457,北海道産いわしとジュレ 燻製風,7,325,2275
2025-01-08,4901592931955,宮崎県産 日南どり炭火焼,14,570,7980
2025-01-08,4901592931641,めいっぱい焼鳥炭火焼 たれ,21,325,6825
2025-01-08,4901592931658,めいっぱい焼鳥炭火焼 塩,22,325,7150
2025-01-08,4901592931030,宮崎県産 霧島黒豚角煮,7,820,5740
2025-01-08,4901592930330,九州産 ぶりあら炊き,8,570,4560
2025-01-08,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,8,840,6720
2025-01-08,4901592929884,湖南風 豚肉の旨辛スパイス,8,580,4640
2025-01-08,4901592929907,国産 あなご蒲焼,13,690,8970
2025-01-08,4901592928993,豚ハラミ焼 スタミナガーリック,17,600,10200
2025-01-08,4901592928382,国産牛すじ煮込み,7,550,3850
2025-01-08,4901592927354,国産牛すね肉の神戸赤ワイン煮,6,990,5940
2025-01-08,4901592918260,激辛ハバネロサーディン,1,550,550
2025-01-08,4901592891266,広島県産 かき燻製油漬け,23,690,15870
2025-01-09,4901592932440,北海道産いわしとジュレ 柚子胡椒風,13,325,4225
2025-01-09,4901592932457,北海道産いわしとジュレ 燻製風,10,325,3250
2025-01-09,4901592931955,宮崎県産 日南どり炭火焼,17,570,9690
2025-01-09,4901592931641,めいっぱい焼鳥炭火焼 たれ,22,325,7150
2025-01-09,4901592931658,めいっぱい焼鳥炭火焼 塩,12,325,3900
2025-01-09,4901592931030,宮崎県産 霧島黒豚角煮,5,820,4100
2025-01-09,4901592930330,九州産 ぶりあら炊き,7,570,3990
2025-01-09,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,10,840,8400
2025-01-09,4901592929884,湖南風 豚肉の旨辛スパイス,12,580,6960
2025-01-09,4901592929907,国産 あなご蒲焼,13,690,8970
2025-01-09,4901592928993,豚ハラミ焼 スタミナガーリック,12,600,7200
2025-01-09,4901592928382,国産牛すじ煮込み,6,550,3300
2025-01-09,4901592927354,国産牛すね肉の神戸赤ワイン煮,7,990,6930
2025-01-09,4901592918260,激辛ハバネロサーディン,1,550,550
2025-01-09,4901592891266,広島県産 かき燻製油漬け,22,690,15180
2025-01-10,4901592932440,北海道産いわしとジュレ 柚子胡椒風,11,325,3575
2025-01-10,4901592932457,北海道産いわしとジュレ 燻製風,7,325,2275
2025-01-10,4901592931955,宮崎県産 日南どり炭火焼,17,570,9690
2025-01-10,4901592931641,めいっぱい焼鳥炭火焼 たれ,25,325,8125
2025-01-10,4901592931658,めいっぱい焼鳥炭火焼 塩,13,325,4225
2025-01-10,4901592931030,宮崎県産 霧島黒豚角煮,6,820,4920
2025-01-10,4901592930330,九州産 ぶりあら炊き,10,570,5700
2025-01-10,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,6,840,5040
2025-01-10,4901592929884,湖南風 豚肉の旨辛スパイス,12,580,6960
2025-01-10,4901592929907,国産 あなご蒲焼,10,690,6900
2025-01-10,4901592928993,豚ハラミ焼 スタミナガーリック,11,600,6600
2025-01-10,4901592928382,国産牛すじ煮込み,9,550,4950
2025-01-10,4901592927354,国産牛すね肉の神戸赤ワイン煮,6,990,5940
2025-01-10,4901592891266,広島県産 かき燻製油漬け,26,690,17940
2025-01-11,4901592932440,北海道産いわしとジュレ 柚子胡椒風,20,325,6500
2025-01-11,4901592932457,北海道産いわしとジュレ 燻製風,14,325,4550
2025-01-11,4901592931955,宮崎県産 日南どり炭火焼,18,570,10260
2025-01-11,4901592931641,めいっぱい焼鳥炭火焼 たれ,28,325,9100
2025-01-11,4901592931658,めいっぱい焼鳥炭火焼 塩,18,325,5850
2025-01-11,4901592931030,宮崎県産 霧島黒豚角煮,6,820,4920
2025-01-11,4901592930330,九州産 ぶりあら炊き,11,570,6270
2025-01-11,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,10,840,8400
2025-01-11,4901592929884,湖南風 豚肉の旨辛スパイス,10,580,5800
2025-01-11,4901592929907,国産 あなご蒲焼,11,690,7590
2025-01-11,4901592928993,豚ハラミ焼 スタミナガーリック,13,600,7800
2025-01-11,4901592928382,国産牛すじ煮込み,12,550,6600
2025-01-11,4901592927354,国産牛すね肉の神戸赤ワイン煮,6,990,5940
2025-01-11,4901592918260,激辛ハバネロサーディン,1,550,550
2025-01-11,4901592891266,広島県産 かき燻製油漬け,47,690,32430
2025-01-12,4901592932440,北海道産いわしとジュレ 柚子胡椒風,11,325,3575
2025-01-12,4901592932457,北海道産いわしとジュレ 燻製風,10,325,3250
2025-01-12,4901592931955,宮崎県産 日南どり炭火焼,21,570,11970
2025-01-12,4901592931641,めいっぱい焼鳥炭火焼 たれ,23,325,7475
2025-01-12,4901592931658,めいっぱい焼鳥炭火焼 塩,18,325,5850
2025-01-12,4901592931030,宮崎県産 霧島黒豚角煮,10,820,8200
2025-01-12,4901592930330,九州産 ぶりあら炊き,13,570,7410
2025-01-12,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,10,840,8400
2025-01-12,4901592929884,湖南風 豚肉の旨辛スパイス,15,580,8700
2025-01-12,4901592929907,国産 あなご蒲焼,16,690,11040
2025-01-12,4901592928993,豚ハラミ焼 スタミナガーリック,14,600,8400
2025-01-12,4901592928382,国産牛すじ煮込み,8,550,4400
2025-01-12,4901592927354,国産牛すね肉の神戸赤ワイン煮,7,990,6930
2025-01-12,4901592918260,激辛ハバネロサーディン,1,550,550
2025-01-12,4901592891266,広島県産 かき燻製油漬け,38,690,26220
2025-01-13,4901592932440,北海道産いわしとジュレ 柚子胡椒風,13,325,4225
2025-01-13,4901592932457,北海道産いわしとジュレ 燻製風,11,325,3575
2025-01-13,4901592931955,宮崎県産 日南どり炭火焼,19,570,10830
2025-01-13,4901592931641,めいっぱい焼鳥炭火焼 たれ,16,325,5200
2025-01-13,4901592931658,めいっぱい焼鳥炭火焼 塩,16,325,5200
2025-01-13,4901592931030,宮崎県産 霧島黒豚角煮,5,820,4100
2025-01-13,4901592930330,九州産 ぶりあら炊き,12,570,6840
2025-01-13,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,6,840,5040
2025-01-13,4901592929884,湖南風 豚肉の旨辛スパイス,8,580,4640
2025-01-13,4901592929907,国産 あなご蒲焼,10,690,6900
2025-01-13,4901592928993,豚ハラミ焼 スタミナガーリック,13,600,7800
2025-01-13,4901592928382,国産牛すじ煮込み,7,550,3850
2025-01-13,4901592927354,国産牛すね肉の神戸赤ワイン煮,5,990,4950
2025-01-13,4901592918260,激辛ハバネロサーディン,1,550,550
2025-01-13,4901592891266,広島県産 かき燻製油漬け,28,690,19320
2025-01-14,4901592932440,北海道産いわしとジュレ 柚子胡椒風,14,325,4550
2025-01-14,4901592932457,北海道産いわしとジュレ 燻製風,10,325,3250
2025-01-14,4901592931955,宮崎県産 日南どり炭火焼,10,570,5700
2025-01-14,4901592931641,めいっぱい焼鳥炭火焼 たれ,28,325,9100
2025-01-14,4901592931658,めいっぱい焼鳥炭火焼 塩,21,325,6825
2025-01-14,4901592931030,宮崎県産 霧島黒豚角煮,8,820,6560
2025-01-14,4901592930330,九州産 ぶりあら炊き,12,570,6840
2025-01-14,4901592929891,北海道・噴火湾産 ほたてのチャンジャ,9,840,7560
2025-01-14,4901592929884,湖南風 豚肉の旨辛スパイス,7,580,4060
